ecdg_code,ecdg_subgroup,icd10
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C78.8
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C79.3
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C79.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C80.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C85.9
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C90.00
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C92.90
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C95.90
E1790 Neoplasms,"E1791 Neoplasm, malignant subcategory",C96.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D09.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D17.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D25.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D30.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D36.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D37.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D38.6
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D41.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D43.9
E1790 Neoplasms,"E1799 Neoplasm, other subcategory",D48.9
E1810 Septicaemia,E1811 Septicaemia subcategory,A39.9
E1810 Septicaemia,E1811 Septicaemia subcategory,A41.9
E1810 Septicaemia,E1811 Septicaemia subcategory,O85
E1810 Septicaemia,E1811 Septicaemia subcategory,R57.2
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A92.0
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A92.3
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A92.8
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A92.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A94
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A95.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A96.2
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A97.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A98.0
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A98.3
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A98.4
E1820 Viral illnesses,E1821 Viral illnesses subcategory,A99
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B00.1
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B01.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B03
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B05.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B06.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B08.2
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B08.3
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B08.4
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B09
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B26.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B27.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B33.1
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B33.8
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B34.9
E1820 Viral illnesses,E1821 Viral illnesses subcategory,B97.2
E1830 Fever of unknown origin,E1831 Fever of unknown origin subcategory,R50.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A01.0
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A01.4
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A02.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A05.1
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A18.8
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A20.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A21.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A22.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A23.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A27.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A28.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A30.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A32.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A35
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A36.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A38
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A49.00
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A49.01
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A49.2
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A49.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A50.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A53.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A54.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A56.8
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A58
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A60.0
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A64
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A70
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A74.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A78
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",A79.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",B24
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",B49
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",B54
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",B83.9
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",B89
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",B95.3
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",B99
"E1890 Infectious and parasitic diseases, other","E1899 Infectious and parasitic diseases, other subcategory",Z20.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F10.0
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F10.3
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F10.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F11.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F12.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F13.90
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F14.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F15.90
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F16.90
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F17.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F18.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F19.0
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F19.3
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F19.9
E1910 Alcohol and drug related mental and behavioural disorders,E1911 Alcohol and drug related mental and behavioural disorders subcategory,F55.9
E1920 Psychoses,E1921 Schizophrenia subcategory,F20.9
E1920 Psychoses,"E1929 Psychosis, other subcategory",F22.9
E1920 Psychoses,"E1929 Psychosis, other subcategory",F23.90
E1920 Psychoses,E1921 Schizophrenia subcategory,F25.9
E1920 Psychoses,"E1929 Psychosis, other subcategory",F29
E1920 Psychoses,"E1929 Psychosis, other subcategory",F30.9
E1920 Psychoses,"E1929 Psychosis, other subcategory",R44.3
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F31.9
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F32.90
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F33.9
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F39
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F41.0
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F41.2
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F41.9
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1992 Acute reactions subcategory,F43.0
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1992 Acute reactions subcategory,F43.1
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1992 Acute reactions subcategory,F43.2
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1992 Acute reactions subcategory,F43.9
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F44.9
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F45.9
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1993 Affective disorders subcategory,F48.9
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F50.0
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F50.9
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F53.9
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F60.9
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F69
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F89
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F91.9
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F93.9
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F98.9
"E1990 Mental, behavioural and neurodevelopment disorders, other","E1999 Mental, behavioural and neurodevelopment disorders, other subcategory",F99
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1991 Suicidal ideation and attempted self-injury subcategory,R45.81
"E1990 Mental, behavioural and neurodevelopment disorders, other",E1991 Suicidal ideation and attempted self-injury subcategory,R45.89
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2011 Cranial injuries subcategory,S02.0
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2011 Cranial injuries subcategory,S02.1
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2011 Cranial injuries subcategory,S02.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2012 Intracranial injuries subcategory,S06.03
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2012 Intracranial injuries subcategory,S06.05
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2012 Intracranial injuries subcategory,S06.4
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2012 Intracranial injuries subcategory,S06.5
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2012 Intracranial injuries subcategory,S06.6
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2012 Intracranial injuries subcategory,S06.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2011 Cranial injuries subcategory,S07.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S12.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S13.2
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S14.10
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S15.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S17.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S18
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S22.00
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S23.2
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S24.10
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S25.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2014 Internal organ injuries subcategory,S27.1
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2014 Internal organ injuries subcategory,S27.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S28.0
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S28.1
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S32.00
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S32.82
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,S34.1
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S35.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2014 Internal organ injuries subcategory,S36.00
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2014 Internal organ injuries subcategory,S36.10
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2014 Internal organ injuries subcategory,S36.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2014 Internal organ injuries subcategory,S37.00
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S38.1
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S38.3
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S47
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S48.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S57.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S58.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S67.8
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S68.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S75.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S78.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S87.8
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,S88.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,T01.9
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,T02.90
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,T07
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2013 Spinal injuries subcategory,T09.3
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,T71
"E2010 Head, intracranial, spine, internal organ and other complex injuries",E2019 Other complex injuries subcategory,T75.1
E2020 Pelvic and femoral fractures,E2021 Pelvic and femoral fractures subcategory,S32.83
E2020 Pelvic and femoral fractures,E2021 Pelvic and femoral fractures subcategory,S72.00
E2020 Pelvic and femoral fractures,E2021 Pelvic and femoral fractures subcategory,S72.10
E2020 Pelvic and femoral fractures,E2021 Pelvic and femoral fractures subcategory,S72.3
E2020 Pelvic and femoral fractures,E2021 Pelvic and femoral fractures subcategory,S72.40
E2020 Pelvic and femoral fractures,E2021 Pelvic and femoral fractures subcategory,S72.9
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,M84.49
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S02.2
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S02.3
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S02.4
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S02.60
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S03.0
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S03.3
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S03.5
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S13.4
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S13.6
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S22.2
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S22.32
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S22.40
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S23.3
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S23.5
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S33.3
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S33.7
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S42.00
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S42.10
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S42.20
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S42.3
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S42.40
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S42.9
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S43.00
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S43.1
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S43.7
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S52.20
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S52.30
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S52.9
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S53.10
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S53.40
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S62.10
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S62.30
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S62.8
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S63.00
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S63.58
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S63.7
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S73.00
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S73.10
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.0
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.18
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.28
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.38
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.40
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.5
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.6
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.81
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.82
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S82.9
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S83.10
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S83.6
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S92.0
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S92.20
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S92.3
"E2025 Fractures, dislocations and ligament injuries",E2026 Fractures subcategory,S92.9
"E2025 Fractures, dislocations and ligament injuries",E2027 Dislocations subcategory,S93.0
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S93.40
"E2025 Fractures, dislocations and ligament injuries",E2028 Sprains subcategory,S93.6
"E2030 Injuries, other","E2032 Concussion, without loss of consciousness subcategory",F07.2
"E2030 Injuries, other",E2033 Open wounds subcategory,S01.0
"E2030 Injuries, other",E2033 Open wounds subcategory,S01.1
"E2030 Injuries, other",E2033 Open wounds subcategory,S01.30
"E2030 Injuries, other",E2033 Open wounds subcategory,S01.41
"E2030 Injuries, other",E2033 Open wounds subcategory,S01.43
"E2030 Injuries, other",E2033 Open wounds subcategory,S01.50
"E2030 Injuries, other",E2033 Open wounds subcategory,S01.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S04.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S05.0
"E2030 Injuries, other","E2039 Injuries, other subcategory",S05.9
"E2030 Injuries, other","E2032 Concussion, without loss of consciousness subcategory",S06.00
"E2030 Injuries, other","E2031 Concussion, with loss of consciousness subcategory",S06.01
"E2030 Injuries, other","E2031 Concussion, with loss of consciousness subcategory",S06.02
"E2030 Injuries, other",E2033 Open wounds subcategory,S08.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S09.2
"E2030 Injuries, other","E2039 Injuries, other subcategory",S09.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S11.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S14.6
"E2030 Injuries, other","E2039 Injuries, other subcategory",S19.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S21.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S24.6
"E2030 Injuries, other","E2039 Injuries, other subcategory",S27.0
"E2030 Injuries, other","E2039 Injuries, other subcategory",S29.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S31.0
"E2030 Injuries, other",E2033 Open wounds subcategory,S31.1
"E2030 Injuries, other",E2033 Open wounds subcategory,S31.2
"E2030 Injuries, other",E2033 Open wounds subcategory,S31.3
"E2030 Injuries, other",E2033 Open wounds subcategory,S31.4
"E2030 Injuries, other","E2039 Injuries, other subcategory",S34.8
"E2030 Injuries, other","E2039 Injuries, other subcategory",S39.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S41.0
"E2030 Injuries, other",E2033 Open wounds subcategory,S41.1
"E2030 Injuries, other","E2039 Injuries, other subcategory",S44.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S45.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S46.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S49.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S51.0
"E2030 Injuries, other",E2033 Open wounds subcategory,S51.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S54.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S55.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S56.8
"E2030 Injuries, other","E2039 Injuries, other subcategory",S59.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S61.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S64.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S65.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S66.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S68.1
"E2030 Injuries, other","E2039 Injuries, other subcategory",S69.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S71.0
"E2030 Injuries, other",E2033 Open wounds subcategory,S71.1
"E2030 Injuries, other","E2039 Injuries, other subcategory",S74.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S76.7
"E2030 Injuries, other","E2039 Injuries, other subcategory",S77.2
"E2030 Injuries, other","E2039 Injuries, other subcategory",S79.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S81.0
"E2030 Injuries, other",E2033 Open wounds subcategory,S81.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S84.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S85.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S86.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S89.9
"E2030 Injuries, other",E2033 Open wounds subcategory,S91.0
"E2030 Injuries, other",E2033 Open wounds subcategory,S91.3
"E2030 Injuries, other","E2039 Injuries, other subcategory",S94.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S95.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S96.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",S97.8
"E2030 Injuries, other","E2039 Injuries, other subcategory",S98.1
"E2030 Injuries, other","E2039 Injuries, other subcategory",S98.4
"E2030 Injuries, other","E2039 Injuries, other subcategory",S99.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",T35.7
"E2030 Injuries, other","E2039 Injuries, other subcategory",T67.0
"E2030 Injuries, other","E2039 Injuries, other subcategory",T67.1
"E2030 Injuries, other","E2039 Injuries, other subcategory",T68
"E2030 Injuries, other","E2039 Injuries, other subcategory",T75.4
"E2030 Injuries, other","E2039 Injuries, other subcategory",T78.9
"E2030 Injuries, other","E2039 Injuries, other subcategory",T79.3
"E2030 Injuries, other","E2039 Injuries, other subcategory",T79.9
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S00.00
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S00.20
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S00.30
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S00.40
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S00.50
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S00.90
"E2040 Finger, toe and superficial injuries",E2041 Open wounds subcategory,S01.20
"E2040 Finger, toe and superficial injuries",E2041 Open wounds subcategory,S01.51
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S10.90
"E2040 Finger, toe and superficial injuries",E2049 Superficial injuries subcategory,S20.80
